,id,cwe,cve,ecosystem,package,buggy_version,fixed_version,package_url,advisory_file,repository_url,fixed,buggy,cbuggy,commits
605,GHSA-244r-fcj3-ghjq,CWE-209;CWE-668,CVE-2021-20289,Maven,org.jboss.resteasy:resteasy-core,4.6.0,4.6.1,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-244r-fcj3-ghjq/GHSA-244r-fcj3-ghjq.json,https://github.com/resteasy/resteasy,4.6.1.Alpha1;4.6.1.Beta1;4.6.1.Beta2;4.6.1.Beta3;4.6.1.Beta5;4.6.1.Beta6;4.6.1.Beta7;4.6.1.Beta8;4.6.1.Beta9;4.6.1.Final,4.6.0.Final,,
606,GHSA-25xc-jwfq-39jw,CWE-402;CWE-668,CVE-2021-31407,Maven,com.vaadin:flow-server,1.2.0,2.4.8,https://github.com/vaadin/flow,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-25xc-jwfq-39jw/GHSA-25xc-jwfq-39jw.json,https://github.com/vaadin/maven-integration,2.4.8,2.4.7,,
607,GHSA-26vr-8j45-3r4w,CWE-400;CWE-551;CWE-755,CVE-2021-28165,Maven,org.eclipse.jetty:jetty-server,7.2.2,9.4.39,https://github.com/eclipse/jetty.project,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-26vr-8j45-3r4w/GHSA-26vr-8j45-3r4w.json,https://github.com/jetty/jetty.project,9.4.39.v20210325,9.4.38.v20210224,,
608,GHSA-2pwh-52h7-7j84,CWE-79,,Maven,de.ipb-halle:molecularfaces,0,0.3.0,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-2pwh-52h7-7j84/GHSA-2pwh-52h7-7j84.json,https://github.com/ipb-halle/MolecularFaces,0.3.0,0.2.0,,
609,GHSA-2wqp-jmcc-mc77,CWE-400,CVE-2021-31405,Maven,com.vaadin:vaadin-bom,14.0.6,14.4.4,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-2wqp-jmcc-mc77/GHSA-2wqp-jmcc-mc77.json,https://github.com/vaadin/platform,14.4.4,14.4.3,,
610,GHSA-36hp-jr8h-556f,CWE-290,CVE-2021-29441,Maven,com.alibaba.nacos:nacos-common,0,1.4.1,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-36hp-jr8h-556f/GHSA-36hp-jr8h-556f.json,https://github.com/alibaba/nacos,1.4.1,1.4.0-BETA,,
611,GHSA-3h5r-928v-mxhh,CWE-754,,Maven,com.vaadin:vaadin-bom,10.0.0,10.0.8,https://github.com/vaadin/platform,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-3h5r-928v-mxhh/GHSA-3h5r-928v-mxhh.json,https://github.com/vaadin/platform,10.0.8,10.0.7,,
612,GHSA-42j4-733x-5vcf,CWE-400,CVE-2020-36320,Maven,com.vaadin:vaadin-bom,7.0.0,7.7.22,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-42j4-733x-5vcf/GHSA-42j4-733x-5vcf.json,https://github.com/vaadin/platform,NA,NA,,
613,GHSA-49r2-73m6-pp8f,CWE-20;CWE-22,CVE-2020-36321,Maven,com.vaadin:flow-server,3.0.0,5.0.0,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-49r2-73m6-pp8f/GHSA-49r2-73m6-pp8f.json,https://github.com/vaadin/flow,5.0.0,4.0.8,,
614,GHSA-5c66-v29h-xjh8,CWE-79,CVE-2021-29459,Maven,org.xwiki.platform:xwiki-platform-oldcore,0,12.6.3,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-5c66-v29h-xjh8/GHSA-5c66-v29h-xjh8.json,NA,NA,NA,,
615,GHSA-5chj-xprr-7qqx,CWE-79,CVE-2020-9447,Maven,com.googlecode.gwtupload:gwtupload,0,None,https://github.com/manolo/gwtupload,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-5chj-xprr-7qqx/GHSA-5chj-xprr-7qqx.json,https://github.com/manolo/gwtupload,NA,NA,,
616,GHSA-64x2-gq24-75pv,CWE-79,CVE-2020-13954,Maven,org.apache.cxf:apache-cxf,0,3.3.8,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-64x2-gq24-75pv/GHSA-64x2-gq24-75pv.json,https://gitbox.apache.org/repos/asf/cxf,3.3.8,3.3.7,,
617,GHSA-6g3c-2mh5-7q6x,CWE-347,CVE-2021-29451,Maven,com.manydesigns:portofino-dispatcher,5.0.0,5.2.1,https://github.com/ManyDesigns/Portofino/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-6g3c-2mh5-7q6x/GHSA-6g3c-2mh5-7q6x.json,https://github.com/ManyDesigns/Portofino,5.2.1,5.1.4,,https://github.com/ManyDesigns/Portofino/commit/8c754a0ad234555e813dcbf9e57d637f9f23d8fb
618,GHSA-6hgr-2g6q-3rmc,CWE-287,,Maven,com.vaadin:flow-client,5.0.0,6.0.5,https://github.com/vaadin/flow/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-6hgr-2g6q-3rmc/GHSA-6hgr-2g6q-3rmc.json,https://github.com/vaadin/flow,6.0.5,6.0.4,,https://github.com/vaadin/flow/commit/815b967fc84fefa8d3a4d72b9a036f48b0d96326
619,GHSA-72m5-fvvv-55m6,CWE-203,CVE-2020-26939,Maven,org.bouncycastle:bcprov-jdk14,0,1.61,https://github.com/bcgit/bc-java/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-72m5-fvvv-55m6/GHSA-72m5-fvvv-55m6.json,https://github.com/bcgit/bc-java,1.61,1.60,,https://github.com/bcgit/bc-java/commit/930f8b274c4f1f3a46e68b5441f1e7fadb57e8c1
620,GHSA-73xv-w5gp-frxh,CWE-670,CVE-2020-28052,Maven,org.bouncycastle:bcprov-jdk15to18,1.65,1.67,https://github.com/bcgit/bc-java,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-73xv-w5gp-frxh/GHSA-73xv-w5gp-frxh.json,https://github.com/bcgit/bc-java,1.67,1.66,,https://github.com/bcgit/bc-java/commit/97578f9b7ed277e6ecb58834e85e3d18385a4219
621,GHSA-75xc-qvxh-27f8,CWE-203;CWE-208,CVE-2021-31403,Maven,com.vaadin:vaadin-bom,7.0.0,7.7.24,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/04/GHSA-75xc-qvxh-27f8/GHSA-75xc-qvxh-27f8.json,https://github.com/vaadin/platform,7.7.24,7.7.23,,
